site_factor,filings_ratio
"Boston, MA",0.521368920910431
"Charleston, SC",0.406903353057199
"Cincinnati, OH",0.693392406269354
"Cleveland, OH",0.451168034398679
"Columbus, OH",0.833775021144629
"Dallas-Fort Worth, TX",0.438048224795899
"Gainesville, FL",0.889614630960157
"Greenville, SC",0.621552884855134
"Houston, TX",0.518473298651662
"Indianapolis, IN",0.624258899676375
"Jacksonville, FL",0.911468712634516
"Kansas City, MO",0.407682375726275
"Memphis, TN",0.641609195402299
"Milwaukee, WI",0.550962870932288
"New York, NY",0.390043332240428
"Philadelphia, PA",0.346335614022713
"Phoenix, AZ",0.689332734889288
"Pittsburgh, PA",0.403125904486252
"Richmond, VA",0.372426790374021
"South Bend, IN",0.513009198423127
"St Louis, MO",0.434845770180621
"Tampa, FL",0.890255884488872
"Wilmington, DE",0.462796833773087
