group,week_date,week_filings,avg_filings,week_diff,end_of_moratorium,start_of_moratorium
White,05/01/2020,200,135.5,1.4760147601476,30/04/2020,19/03/2020
White,12/01/2020,307,184,1.66847826086957,30/04/2020,19/03/2020
White,19/01/2020,206,123.25,1.67139959432049,30/04/2020,19/03/2020
White,26/01/2020,90,95.5,0.942408376963351,30/04/2020,19/03/2020
White,02/02/2020,54,67.5,0.8,30/04/2020,19/03/2020
White,09/02/2020,333,196.75,1.69250317662008,30/04/2020,19/03/2020
White,16/02/2020,234,108.25,2.16166281755196,30/04/2020,19/03/2020
White,23/02/2020,141,71.75,1.96515679442509,30/04/2020,19/03/2020
White,01/03/2020,61,46.75,1.3048128342246,30/04/2020,19/03/2020
White,08/03/2020,260,149.5,1.73913043478261,30/04/2020,19/03/2020
White,15/03/2020,131,113.25,1.15673289183223,30/04/2020,19/03/2020
White,22/03/2020,40,64.5,0.62015503875969,30/04/2020,19/03/2020
White,29/03/2020,11,43,0.255813953488372,30/04/2020,19/03/2020
White,05/04/2020,1,106,0.00943396226415094,30/04/2020,19/03/2020
White,12/04/2020,28,118.5,0.236286919831224,30/04/2020,19/03/2020
Black,05/01/2020,143,153.75,0.930081300813008,30/04/2020,19/03/2020
Black,12/01/2020,269,253.5,1.06114398422091,30/04/2020,19/03/2020
Black,19/01/2020,214,208.25,1.02761104441777,30/04/2020,19/03/2020
Black,26/01/2020,180,192.25,0.936280884265279,30/04/2020,19/03/2020
Black,02/02/2020,107,122.5,0.873469387755102,30/04/2020,19/03/2020
Black,09/02/2020,326,267.5,1.21869158878505,30/04/2020,19/03/2020
Black,16/02/2020,209,155.5,1.34405144694534,30/04/2020,19/03/2020
Black,23/02/2020,148,122.75,1.20570264765784,30/04/2020,19/03/2020
Black,01/03/2020,95,78.25,1.21405750798722,30/04/2020,19/03/2020
Black,08/03/2020,184,204,0.901960784313725,30/04/2020,19/03/2020
Black,15/03/2020,96,140,0.685714285714286,30/04/2020,19/03/2020
Black,22/03/2020,30,119,0.252100840336134,30/04/2020,19/03/2020
Black,29/03/2020,24,65,0.369230769230769,30/04/2020,19/03/2020
Black,05/04/2020,6,121.5,0.0493827160493827,30/04/2020,19/03/2020
Black,12/04/2020,15,188.5,0.0795755968169761,30/04/2020,19/03/2020
Latinx,05/01/2020,376,360.5,1.04299583911234,30/04/2020,19/03/2020
Latinx,12/01/2020,674,537,1.25512104283054,30/04/2020,19/03/2020
Latinx,19/01/2020,497,446.75,1.11247901510912,30/04/2020,19/03/2020
Latinx,26/01/2020,293,392.5,0.746496815286624,30/04/2020,19/03/2020
Latinx,02/02/2020,137,251.75,0.544190665342602,30/04/2020,19/03/2020
Latinx,09/02/2020,659,522.75,1.26064084170253,30/04/2020,19/03/2020
Latinx,16/02/2020,510,325,1.56923076923077,30/04/2020,19/03/2020
Latinx,23/02/2020,259,272.75,0.949587534372136,30/04/2020,19/03/2020
Latinx,01/03/2020,131,174,0.752873563218391,30/04/2020,19/03/2020
Latinx,08/03/2020,387,413.25,0.936479128856624,30/04/2020,19/03/2020
Latinx,15/03/2020,232,343.25,0.675892206846322,30/04/2020,19/03/2020
Latinx,22/03/2020,52,264.75,0.196411709159585,30/04/2020,19/03/2020
Latinx,29/03/2020,20,134.5,0.148698884758364,30/04/2020,19/03/2020
Latinx,05/04/2020,19,257,0.0739299610894942,30/04/2020,19/03/2020
Latinx,12/04/2020,80,369.75,0.216362407031778,30/04/2020,19/03/2020
Other,05/01/2020,602,473.25,1.27205493924987,30/04/2020,19/03/2020
Other,12/01/2020,921,800.75,1.15017171401811,30/04/2020,19/03/2020
Other,19/01/2020,814,478.75,1.70026109660574,30/04/2020,19/03/2020
Other,26/01/2020,287,376.5,0.762284196547145,30/04/2020,19/03/2020
Other,02/02/2020,121,229,0.528384279475983,30/04/2020,19/03/2020
Other,09/02/2020,981,720,1.3625,30/04/2020,19/03/2020
Other,16/02/2020,758,398.5,1.90213299874529,30/04/2020,19/03/2020
Other,23/02/2020,552,239.25,2.30721003134796,30/04/2020,19/03/2020
Other,01/03/2020,129,142.25,0.906854130052724,30/04/2020,19/03/2020
Other,08/03/2020,632,546.75,1.15592135345222,30/04/2020,19/03/2020
Other,15/03/2020,467,417.75,1.1178934769599,30/04/2020,19/03/2020
Other,22/03/2020,100,231,0.432900432900433,30/04/2020,19/03/2020
Other,29/03/2020,18,136.5,0.131868131868132,30/04/2020,19/03/2020
Other,05/04/2020,8,344.75,0.0232052211747643,30/04/2020,19/03/2020
Other,12/04/2020,64,523.75,0.122195704057279,30/04/2020,19/03/2020
