group,month,month_last_day,month_filings,avg_filings,month_diff,end_of_moratorium,start_of_moratorium
White,January,,827,556,1.48741007194245,30/04/2020,19/03/2020
White,February,,762,448.25,1.69994422755159,30/04/2020,19/03/2020
White,March,,496,391.75,1.26611359285258,30/04/2020,19/03/2020
White,April,18/04/2020,36,249.75,0.144144144144144,30/04/2020,19/03/2020
Black,January,,843,835.5,1.00897666068223,30/04/2020,19/03/2020
Black,February,,790,675.25,1.16993706034802,30/04/2020,19/03/2020
Black,March,,425,568.25,0.747910250769908,30/04/2020,19/03/2020
Black,April,18/04/2020,25,348,0.0718390804597701,30/04/2020,19/03/2020
Latinx,January,,1924,1801.5,1.06799888981404,30/04/2020,19/03/2020
Latinx,February,,1565,1391,1.12508986340762,30/04/2020,19/03/2020
Latinx,March,,811,1236.25,0.656016177957533,30/04/2020,19/03/2020
Latinx,April,18/04/2020,110,720.25,0.152724748351267,30/04/2020,19/03/2020
Other,January,,2715,2200.5,1.23381049761418,30/04/2020,19/03/2020
Other,February,,2412,1598.5,1.50891460744448,30/04/2020,19/03/2020
Other,March,,1341,1396.5,0.960257787325457,30/04/2020,19/03/2020
Other,April,18/04/2020,77,946.25,0.0813738441215324,30/04/2020,19/03/2020
